ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
TWTR,US,2018-07-18,0.571,3.174,-3.033,191,10.0,TWITTER
AAPL,MM,2018-07-18,0.714,2.359,-1.93,28,10.0,APPLE INC
AAPL,CI,2018-07-18,0.714,2.359,-1.93,28,10.0,APPLE INC
AAPL,US,2018-07-18,0.714,2.359,-1.93,28,10.0,APPLE INC
TWTR,US,2018-07-17,0.333,3.08,-3.413,183,9.0,TWITTER
AAPL,MM,2018-07-17,0.478,3.047,-3.09,23,10.0,APPLE INC
AAPL,CI,2018-07-17,0.478,3.047,-3.09,23,10.0,APPLE INC
AAPL,US,2018-07-17,0.478,3.047,-3.09,23,10.0,APPLE INC
TWTR,US,2018-07-16,0.564,2.885,-2.757,163,10.0,TWITTER
AAPL,MM,2018-07-16,2.2,4.033,0.367,20,10.0,APPLE INC
AAPL,CI,2018-07-16,2.2,4.033,0.367,20,10.0,APPLE INC
AAPL,US,2018-07-16,2.2,4.033,0.367,20,10.0,APPLE INC
TWTR,US,2018-07-15,1.7,3.968,-1.568,30,9.0,TWITTER
AAPL,MM,2018-07-15,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2018-07-15,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,US,2018-07-15,0.0,0.0,0.0,0,0.0,APPLE INC
TWTR,US,2018-07-14,0.0819999999999999,2.493,-3.328,158,8.0,TWITTER
AAPL,MM,2018-07-14,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2018-07-14,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,US,2018-07-14,0.0,0.0,0.0,0,0.0,APPLE INC
TWTR,US,2018-07-13,0.0,0.0,0.0,0,0.0,TWITTER
AAPL,MM,2018-07-13,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2018-07-13,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,US,2018-07-13,0.0,0.0,0.0,0,0.0,APPLE INC
TWTR,US,2018-07-19,0.39,2.795,-3.015,159,9.0,TWITTER
AAPL,MM,2018-07-19,1.75,3.626,-1.126,12,4.0,APPLE INC
AAPL,CI,2018-07-19,1.75,3.626,-1.126,12,4.0,APPLE INC
AAPL,US,2018-07-19,1.75,3.626,-1.126,12,4.0,APPLE INC
AAPL,CI,2013-01-01,0.706,2.306,-1.894,17,5.0,APPLE INC
AAPL,CI,2013-01-02,0.229,2.186,-2.729,35,10.0,APPLE INC
AAPL,CI,2013-01-03,0.583,2.265,-2.098,24,6.0,APPLE INC
AAPL,CI,2013-01-04,1.0,3.368,-2.368,56,10.0,APPLE INC
AAPL,CI,2013-01-05,3.0,4.265,1.735,5,5.0,APPLE INC
AAPL,CI,2013-01-06,1.778,3.528,0.028,9,5.0,APPLE INC
AAPL,CI,2013-01-07,0.27,2.887,-3.346,37,9.0,APPLE INC
AAPL,CI,2013-01-08,1.116,3.36,-2.127,43,7.0,APPLE INC
AAPL,CI,2013-01-09,0.417,2.604,-2.771,48,8.0,APPLE INC
AAPL,CI,2013-01-10,1.426,3.72,-1.869,47,8.0,APPLE INC
AAPL,CI,2013-01-11,0.452,2.294,-2.389,42,7.0,APPLE INC
AAPL,CI,2013-01-12,1.833,3.047,0.62,6,5.0,APPLE INC
AAPL,CI,2013-01-13,0.5,1.366,-1.366,4,5.0,APPLE INC
AAPL,CI,2013-01-14,-1.489,1.727,-3.704,88,10.0,APPLE INC
AAPL,CI,2013-01-15,0.159,2.249,-2.93,69,7.0,APPLE INC
AAPL,CI,2013-01-16,0.122,1.687,-2.443,41,4.0,APPLE INC
AAPL,CI,2013-01-17,1.17,3.139,-1.799,53,6.0,APPLE INC
AAPL,CI,2013-01-18,0.471,2.749,-2.808,34,3.0,APPLE INC
AAPL,CI,2013-01-19,0.143,2.242,-2.957,7,2.0,APPLE INC
AAPL,CI,2013-01-20,0.333,0.805,-1.138,3,2.0,APPLE INC
AAPL,CI,2013-01-21,0.2,2.19,-2.79,10,2.0,APPLE INC
AAPL,CI,2013-01-22,0.623,2.577,-2.332,53,7.0,APPLE INC
AAPL,CI,2013-01-23,0.577,2.966,-2.812,78,10.0,APPLE INC
AAPL,CI,2013-01-24,0.09,2.691,-3.511,155,10.0,APPLE INC
AAPL,CI,2013-01-25,1.173,3.394,-2.048,81,5.0,APPLE INC
AAPL,CI,2013-01-26,0.222,2.371,-2.927,9,3.0,APPLE INC
AAPL,CI,2013-01-27,-2.5,-2.0,-3.0,2,2.0,APPLE INC
AAPL,CI,2013-01-28,1.235,3.575,-2.104,34,2.0,APPLE INC
AAPL,CI,2013-01-29,0.925,2.705,-1.855,40,2.0,APPLE INC
AAPL,CI,2013-01-30,1.129,3.735,-2.477,62,4.0,APPLE INC
AAPL,CI,2013-01-31,0.512,2.798,-2.775,43,2.0,APPLE INC
AAPL,CI,2013-02-01,1.806,3.845,-1.232,31,3.0,APPLE INC
AAPL,CI,2013-02-02,0.1,2.648,-3.448,10,4.0,APPLE INC
AAPL,CI,2013-02-03,1.8,3.739,-1.139,5,4.0,APPLE INC
AAPL,CI,2013-02-04,-1.348,1.665,-3.361,23,6.0,APPLE INC
AAPL,CI,2013-02-05,0.5,2.486,-2.486,26,4.0,APPLE INC
AAPL,CI,2013-02-06,0.929,3.147,-2.29,28,4.0,APPLE INC
AAPL,CI,2013-02-07,0.286,2.632,-3.06,77,10.0,APPLE INC
AAPL,CI,2013-02-08,0.542,2.768,-2.685,48,6.0,APPLE INC
AAPL,CI,2013-02-09,0.056,2.538,-3.427,18,5.0,APPLE INC
AAPL,CI,2013-02-10,0.25,3.023,-3.523,4,4.0,APPLE INC
AAPL,CI,2013-02-11,0.385,2.096,-2.327,26,6.0,APPLE INC
AAPL,CI,2013-02-12,-1.5,0.618,-2.618,4,0.0,APPLE INC
AAPL,CI,2013-02-13,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2013-02-14,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2013-02-15,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2013-02-16,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2013-02-17,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2013-02-18,0.231,2.158,-2.697,26,10.0,APPLE INC
AAPL,CI,2013-02-19,1.111,3.145,-1.923,54,10.0,APPLE INC
AAPL,CI,2013-02-20,-1.279,2.041,-3.598,61,10.0,APPLE INC
AAPL,CI,2013-02-21,0.25,2.281,-2.781,64,10.0,APPLE INC
AAPL,CI,2013-02-22,0.45,2.652,-2.752,40,6.0,APPLE INC
AAPL,CI,2013-02-23,0.05,1.96,-2.86,20,6.0,APPLE INC
AAPL,CI,2013-02-24,1.2,2.881,-1.481,15,7.0,APPLE INC
AAPL,CI,2013-02-25,1.457,3.486,-1.573,46,10.0,APPLE INC
AAPL,CI,2013-02-26,0.463,2.326,-2.4,54,8.0,APPLE INC
AAPL,CI,2013-02-27,0.311,2.364,-2.742,45,7.0,APPLE INC
AAPL,CI,2013-02-28,0.204,2.451,-3.044,54,8.0,APPLE INC
AAPL,CI,2013-03-01,0.174,2.283,-2.935,46,8.0,APPLE INC
AAPL,CI,2013-03-02,1.0,3.029,-2.029,17,7.0,APPLE INC
AAPL,CI,2013-03-03,3.0,5.0,1.0,2,6.0,APPLE INC
AAPL,CI,2013-03-04,-1.125,1.536,-2.786,40,10.0,APPLE INC
AAPL,CI,2013-03-05,1.625,3.609,-1.359,40,7.0,APPLE INC
AAPL,CI,2013-03-06,1.192,3.043,-1.658,52,9.0,APPLE INC
AAPL,CI,2013-03-07,0.88,2.805,-2.045,50,9.0,APPLE INC
AAPL,CI,2013-03-08,1.121,2.992,-1.75,33,6.0,APPLE INC
AAPL,CI,2013-03-09,0.6,2.815,-2.615,15,6.0,APPLE INC
AAPL,CI,2013-03-10,-1.0,-1.0,-1.0,2,5.0,APPLE INC
AAPL,CI,2013-03-11,0.957,3.25,-2.337,23,7.0,APPLE INC
AAPL,CI,2013-03-12,1.2,3.223,-1.823,30,5.0,APPLE INC
AAPL,CI,2013-03-13,1.0,3.14,-2.14,31,5.0,APPLE INC
AAPL,CI,2013-03-14,0.263,2.151,-2.624,57,10.0,APPLE INC
AAPL,CI,2013-03-15,1.067,3.147,-2.014,45,7.0,APPLE INC
AAPL,CI,2013-03-16,1.0,3.098,-2.098,5,4.0,APPLE INC
AAPL,CI,2013-03-17,0.0,0.0,0.0,0,0.0,APPLE INC
AAPL,CI,2013-03-18,0.576,2.925,-2.773,33,6.0,APPLE INC
AAPL,CI,2013-03-19,0.6,2.918,-2.718,30,5.0,APPLE INC
AAPL,CI,2013-03-20,1.04,3.64,-2.56,25,4.0,APPLE INC
AAPL,CI,2013-03-21,0.278,2.158,-2.602,18,3.0,APPLE INC
AAPL,CI,2013-03-22,0.423,2.368,-2.522,26,5.0,APPLE INC
AAPL,CI,2013-03-23,-2.0,-2.0,-2.0,1,4.0,APPLE INC
AAPL,CI,2013-03-24,1.0,2.414,-1.414,3,3.0,APPLE INC
AAPL,CI,2013-03-25,0.778,3.076,-2.521,36,10.0,APPLE INC
AAPL,CI,2013-03-26,0.513,2.887,-2.861,39,10.0,APPLE INC
AAPL,CI,2013-03-27,0.97,2.684,-1.745,33,8.0,APPLE INC
AAPL,CI,2013-03-28,1.182,3.334,-1.971,33,8.0,APPLE INC
AAPL,CI,2013-03-29,1.063,3.108,-1.983,16,4.0,APPLE INC
AAPL,CI,2013-03-30,2.5,3.0,2.0,2,2.0,APPLE INC
AAPL,CI,2013-03-31,3.0,3.0,3.0,1,2.0,APPLE INC
AAPL,CI,2013-04-01,-1.143,1.703,-2.989,28,7.0,APPLE INC
AAPL,CI,2013-04-02,0.733,2.803,-2.337,45,10.0,APPLE INC
AAPL,CI,2013-04-03,1.174,3.273,-1.925,23,5.0,APPLE INC
AAPL,CI,2013-04-04,1.974,4.215,-1.268,38,8.0,APPLE INC
AAPL,CI,2013-04-05,1.04,3.497,-2.417,25,5.0,APPLE INC
AAPL,CI,2013-04-06,-1.375,2.171,-3.921,8,4.0,APPLE INC
AAPL,CI,2013-04-07,0.667,1.138,0.195,3,4.0,APPLE INC
AAPL,CI,2013-04-08,1.083,3.261,-2.095,24,7.0,APPLE INC
AAPL,CI,2013-04-09,0.537,2.501,-2.428,41,9.0,APPLE INC
AAPL,CI,2013-04-10,0.553,2.689,-2.583,38,9.0,APPLE INC
AAPL,CI,2013-04-11,0.535,2.585,-2.515,43,10.0,APPLE INC
AAPL,CI,2013-04-12,0.435,2.638,-2.768,23,5.0,APPLE INC
AAPL,CI,2013-04-13,3.25,4.34,2.16,4,3.0,APPLE INC
AAPL,CI,2013-04-14,1.0,2.414,-1.414,5,3.0,APPLE INC
AAPL,CI,2013-04-15,0.1,2.195,-2.995,40,10.0,APPLE INC
AAPL,CI,2013-04-16,1.219,3.626,-2.189,32,7.0,APPLE INC
AAPL,CI,2013-04-17,-1.215,1.517,-2.947,65,10.0,APPLE INC
AAPL,CI,2013-04-18,-1.01,2.424,-3.445,97,10.0,APPLE INC
AAPL,CI,2013-04-19,0.233,1.94,-2.473,30,3.0,APPLE INC
AAPL,CI,2013-04-20,-1.167,1.697,-3.03,6,2.0,APPLE INC
AAPL,CI,2013-04-21,-1.4,1.8,-3.6,10,2.0,APPLE INC
AAPL,CI,2013-04-22,0.721,2.813,-2.372,68,8.0,APPLE INC
AAPL,CI,2013-04-23,0.436,2.745,-2.874,101,10.0,APPLE INC
AAPL,CI,2013-04-24,0.695,2.886,-2.497,203,10.0,APPLE INC
AAPL,CI,2013-04-25,0.921,3.191,-2.349,63,3.0,APPLE INC
AAPL,CI,2013-04-26,0.785,2.685,-2.115,93,4.0,APPLE INC
